,date,open,high,low,close,volume
0,2026-01-22,108900.0,109600.0,106500.0,108100.0,205082
1,2026-01-21,111800.0,112200.0,108400.0,108800.0,175380
2,2026-01-20,114100.0,115700.0,113200.0,113400.0,170725
3,2026-01-19,111800.0,114900.0,111100.0,114000.0,133562
4,2026-01-16,113400.0,114700.0,111800.0,112300.0,113869
5,2026-01-15,112600.0,114400.0,112500.0,112900.0,138836
6,2026-01-14,114600.0,115300.0,112100.0,112700.0,118330
7,2026-01-13,115600.0,116000.0,113300.0,113900.0,146682
8,2026-01-12,114400.0,117450.0,113000.0,115900.0,175328
9,2026-01-09,117000.0,117400.0,114000.0,114400.0,149239
10,2026-01-08,114300.0,118400.0,111700.0,117900.0,327921
11,2026-01-07,116700.0,120900.0,110700.0,115500.0,664079
12,2026-01-06,120000.0,120100.0,116000.0,117100.0,252689
13,2026-01-05,134700.0,134700.0,118300.0,119000.0,760409
14,2026-01-02,140000.0,140400.0,129400.0,132400.0,465998
15,2025-12-30,127600.0,137500.0,127400.0,135000.0,450619
16,2025-12-29,122500.0,128500.0,121300.0,128000.0,134059
17,2025-12-26,126890.67524115756,127488.7459807074,123202.57234726689,124000.0,135676
18,2025-12-24,126093.24827870441,129183.28044996121,124897.10679305664,128485.53125,139879
19,2025-12-23,121508.04007194597,129083.60286560298,119016.07862666406,127289.390625,417541
20,2025-12-22,117620.57892796968,119315.11269218619,115726.68825031593,118318.328125,85451
21,2025-12-19,118218.65346125106,121807.07801825363,116723.4765625,116723.4765625,197373
22,2025-12-18,117520.89679449958,120311.89349530195,115128.61390809756,118019.2890625,220566
23,2025-12-17,112237.94384517767,118517.6867068528,111241.15926395939,117819.9375,271784
24,2025-12-16,109048.23143744405,113135.0481549351,105360.12854604969,111340.8359375,229202
25,2025-12-15,102170.41606938074,113434.08145068807,100376.20388474771,108649.515625,318284
26,2025-12-12,102369.77139029383,103864.94818762042,100874.59459296725,103466.234375,119739
27,2025-12-11,103266.88120719178,103565.91657748287,101173.6336151541,101871.3828125,102229
28,2025-12-10,100376.20232719171,104861.73271917149,100376.20232719171,103466.234375,83612
29,2025-12-09,101672.02632874016,103167.20318651575,100575.56329970472,101273.3125,66409
30,2025-12-08,102668.80798100491,103266.87870710784,101073.95271139705,101672.0234375,76167
31,2025-12-05,103366.5632782567,104064.3125,101572.35099377394,104064.3125,57053
32,2025-12-04,105260.44653179191,105260.44653179191,101971.0575776734,103466.234375,73885
33,2025-12-03,106855.3047245964,107054.66163639602,104861.7356066002,104961.4140625,80393
34,2025-12-02,108549.84263184051,109945.34106787886,105758.8457597638,106556.2734375,124892
35,2025-12-01,109048.23322567504,109845.66089094506,105958.20102275372,107054.6640625,140544
36,2025-11-28,102967.84803567299,108151.12789806891,102868.16957678075,107752.4140625,200917
37,2025-11-27,98781.35184506355,102569.1332478006,98781.35184506355,101971.0625,88220
38,2025-11-26,96787.78240886731,99180.06539322654,96189.7116627775,98781.3515625,72972
39,2025-11-25,99977.49230084197,99977.49230084197,95691.31865284975,96189.7109375,145230
40,2025-11-24,102569.1308008982,102668.80925648703,99279.74176646706,99877.8125,131905
41,2025-11-21,103167.20025275735,103665.5925245098,101173.63116574755,101672.0234375,69629
42,2025-11-20,102270.09295175024,105858.51726584673,101472.66532639546,105360.125,136791
43,2025-11-19,104961.41157915845,105260.44693978282,100774.91653041707,100974.2734375,126843
44,2025-11-18,103167.2010561066,107652.73153680688,102868.16569072657,104263.6640625,295077
45,2025-11-17,101472.66611842105,102768.48601973684,99877.81085526316,102270.09375,85571
46,2025-11-14,100276.52670874384,103366.55884390394,100276.52670874384,101173.6328125,143872
47,2025-11-13,99180.0628952753,101273.31045386905,98382.63525390625,100475.8828125,180283
48,2025-11-12,99678.45643939394,100276.5271780303,98581.9934185606,98681.671875,150782
49,2025-11-11,102369.77177911217,102868.16404678069,97983.91982362927,99080.3828125,249460
50,2025-11-10,102469.45189264849,103167.20107868793,100077.16896908471,102369.7734375,161173
51,2025-11-07,102967.84292763157,104463.0197368421,100974.27384868421,102270.09375,157108
